id,name,category,price,sku,barcode,stockQty,minStock,isActive,updatedAt
ITEM-0001,Espresso Blend 250gr,CAT-BEV,85000,BEV-001,,18,4,true,2026-04-07T08:05:00.000Z
ITEM-0002,Kopi Susu Botol,CAT-BEV,22000,BEV-002,,26,8,true,2026-04-07T08:05:00.000Z
ITEM-0003,Air Mineral 600ml,CAT-BEV,5000,BEV-003,,72,18,true,2026-04-07T08:05:00.000Z
ITEM-0004,Teh Lemon PET,CAT-BEV,9000,BEV-004,,14,10,true,2026-04-07T08:05:00.000Z
ITEM-0005,Keripik Singkong Balado,CAT-SNK,14000,SNK-001,,9,10,true,2026-04-07T08:05:00.000Z
ITEM-0006,Biskuit Cokelat,CAT-SNK,12500,SNK-002,,20,8,true,2026-04-07T08:05:00.000Z
ITEM-0007,Mi Instan Goreng,CAT-INS,3800,INS-001,,110,30,true,2026-04-07T08:05:00.000Z
ITEM-0008,Mi Kuah Kari,CAT-INS,4200,INS-002,,54,20,true,2026-04-07T08:05:00.000Z
ITEM-0009,Beras Ramos 5kg,CAT-DRY,76000,DRY-001,,12,5,true,2026-04-07T08:05:00.000Z
ITEM-0010,Gula Pasir 1kg,CAT-DRY,18500,DRY-002,,25,10,true,2026-04-07T08:05:00.000Z
ITEM-0011,Minyak Goreng 1L,CAT-DRY,21000,DRY-003,,16,8,true,2026-04-07T08:05:00.000Z
ITEM-0012,Sabun Cuci Piring 800ml,CAT-HYG,17500,HYG-001,,11,6,true,2026-04-07T08:05:00.000Z
ITEM-0013,Tisu Wajah 200s,CAT-HYG,13500,HYG-002,,7,8,true,2026-04-07T08:05:00.000Z
ITEM-0014,Nasi Goreng Frozen,CAT-MEA,28000,MEA-001,,15,6,true,2026-04-07T08:05:00.000Z
ITEM-0015,Sosis Ayam 500gr,CAT-MEA,32000,MEA-002,,13,5,true,2026-04-07T08:05:00.000Z
ITEM-0016,Produk Lama Nonaktif,CAT-SNK,10000,SNK-999,,0,0,false,2026-04-07T08:05:00.000Z

